sampleid,species,collection_date,tooth_type,lab_test,lab_researcher,published,publication,age,cc,notes
WAY073,Eidolon dupreanum,11/28/19,NA,aged,Cara Brook,no,NA,0.030136986,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY072,Eidolon dupreanum,11/28/19,NA,aged,Cara Brook,no,NA,0.030136986,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY083,Eidolon dupreanum,11/29/19,NA,aged,Cara Brook,no,NA,0.032876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
WAY081,Eidolon dupreanum,11/29/19,NA,aged,Cara Brook,no,NA,0.032876712,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
ROU195,Rousettus madagascariensis,11/30/19,NA,aged,Cara Brook,no,NA,0.964383562,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ613,Rousettus madagascariensis,1/31/20,NA,aged,Cara Brook,no,NA,0.134246575,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ612,Rousettus madagascariensis,1/31/20,NA,aged,Cara Brook,no,NA,0.134246575,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL462,Eidolon dupreanum,2/2/20,NA,aged,Cara Brook,no,NA,0.210958904,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL457,Eidolon dupreanum,2/2/20,NA,aged,Cara Brook,no,NA,0.210958904,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI066,Pteropus rufus,2/25/20,NA,aged,Cara Brook,no,NA,0.405479452,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI071,Pteropus rufus,2/28/20,NA,aged,Cara Brook,no,NA,0.41369863,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
TSI073,Pteropus rufus,2/29/20,NA,aged,Cara Brook,no,NA,0.416438356,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL475,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL479,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL469,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL476,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL472,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL484,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL480,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ643,Rousettus madagascariensis,3/10/20,NA,aged,Cara Brook,no,NA,0.24109589,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
MIZ646,Rousettus madagascariensis,3/10/20,NA,aged,Cara Brook,no,NA,0.24109589,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL463B,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL470,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL477,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL478,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL486(duplicatedID),Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL468B,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL473,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL467B,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL460B,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
KEL461B,Eidolon dupreanum,3/10/20,NA,aged,Cara Brook,no,NA,0.312328767,A,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis"
